identifier;N  A2 Gal1;N  A2 Gal2;N  A2 Gal3;N  A2 Gal4;N  A2 homo1;N  A2 homo2;N  A2 homo3;N  A2 homo4;N  A2 sin1;N  A2 sin2 ;N  A2 sin3;N  A2 sin4;N  B16 Gal1;N  B16 Gal2;N  B16 Gal3;N  B16 Gal4;N  B16 homo1;N  B16 homo2;N  B16 homo3;N  B16 homo4;N  B16 sin1;N  B16 sin2;N  B16 sin3;N  B16 sin4;R  A2 Gal1;R  A2 Gal2;R  A2 Gal3;R  A2 Gal4;R  A2 homo1;R  A2 homo2;R  A2 homo3;R  A2 homo4;R  A2 sin1;R  A2 sin2 ;R  A2 sin3;R  A2 sin4;R  B16 Gal1;R  B16 Gal2;R  B16 Gal3;R  B16 Gal4 (1);R  B16 homo1;R  B16 homo2;R  B16 homo3;R  B16 homo4 (3);R  B16 sin1;R  B16 sin2;R  B16 sin3;R  B16 sin4 (3);RS  A2 Gal1;RS  A2 Gal2;RS  A2 Gal3;RS  A2 Gal4 (3);RS  A2 homo1;RS  A2 homo2;RS  A2 homo3 (2);RS  A2 homo4 (2);RS  B16 Gal1;RS  B16 Gal2;RS  B16 Gal3;RS  B16 Gal4 (1);RS  B16 homo1;RS  B16 homo2;RS  B16 homo3;RS  B16 homo4 (3);S  A2 sin1;S  A2 sin2;S  A2 sin3;S  A2 sin4 (2);S  B16 sin1;S  B16 sin2;S  B16 sin3;S  B16 sin4 (2);SS  A2 Gal1;SS  A2 Gal2;SS  A2 Gal3;SS  A2 Gal4 (3);SS  A2 homo1;SS  A2 homo2;SS  A2 homo3 (1);SS  A2 homo4 (2);SS  B16 Gal1;SS  B16 Gal2;SS  B16 Gal3;SS  B16 Gal4 (3);SS  B16 homo1;SS  B16 homo2;SS  B16 homo3 (1);SS  B16 homo4 (2)
9.24_301.22;652931,06;625544,44;219870,23;247304,14;690541,9;685899,75;698542,5;750398,3;803770,56;644029,5;369848,72;542180,6;535396,56;804243,6;533769,8;555786,4;638194,2;650780,5;658496,3;559952,06;393817,78;527354,44;436140,72;515315,4;1511500,6;1287114,2;835411,9;790379,6;893836,4;1822918,2;786265,2;814537,06;503062,3;1098701,6;2338113,2;1078578;2112481,8;1426847,8;1141492,4;2019676,6;1483443;1762317;1566124,8;1529204,5;2678080,5;1295348,2;1382139,2;1436452,2;2524828,2;2934511,5;2386983;2306718,2;1729307;2489278,8;2151348,8;2416201,5;1497757,9;1482924,8;1797849;1555257,5;1860113,6;1488229,2;2439150,2;2679579,5;3874438;1516220,8;1933664,2;1409301,2;1063579,1;2322547,8;1672347,6;2221013,2;2584333;2348792,2;2282410,5;1933429,8;3401833,8;1593443;3358658,8;1418611,5;2275029,5;1981661,6;2207938,2;2306717,2;1617214,4;1609843,4;1617316,9;1944292,8
2.33_229.03;132369,86;38282,52;67373,08;59907,61;56592,19;87602,63;96016,18;90047,73;76261,91;79116;97883,27;64631,18;76654,05;105201,12;39668,95;125835,44;51192,05;71672,16;74840,77;67682,22;55598,86;68207,72;71027,06;84120,59;323255,72;258380;330459,53;320435,1;227768,22;310821,94;233008,73;268876,03;302544,6;459147,75;466669,3;503949,28;499985,7;520879,88;584964,06;490847,06;459852,34;463126,7;398997,84;361075,3;276533,88;437999,8;332391,12;397148,88;182473,97;245693,92;214502,69;243626,19;120556,07;152994,45;158446,7;161744,8;239212,23;144068,36;176839,31;269267,7;193600,95;148286,8;204151,72;229239,12;292404,9;352846,38;297916,94;326882,78;166257,8;316782,47;306313,1;356808,03;284414,84;257611,6;255145,83;201356,6;129318,81;214439,77;128617,55;176806,1;324713,94;65201,61;243293,67;232274,02;180820,08;166220,64;132225,33;263426,56
7.12_331.19;3733,9;5778,71;2899,43;2963,11;13867,73;7002,6;6712,76;7829,44;38743,63;6313,11;4304,09;6148,92;16445,7;3997,95;2734,25;3008,69;68593,38;26307,43;18391,35;14276,84;9293,87;8877,59;3724,48;4653,44;104346,14;42963,08;32579,96;36657,45;18700,46;84500,17;18063,08;24207,14;27037,38;45742,93;75991,72;46297,91;493811,78;189981,81;147343,61;501608,78;168648,3;199327,02;241240;234974,61;127554,67;27937,86;15189,69;45129;863902,3;921157,06;585274,6;631636,44;590735,06;520928,12;416042,47;438329,88;381946,4;464555,78;456933;371478,66;507382,03;430656,84;1372240;1439613,6;1098459,1;22749,33;276330,22;42247,83;33045,72;717315,56;181136,1;629042,5;132506,33;29745,98;322090,5;254885,77;493432;114237,8;472043,5;60968,47;99391,66;40049,31;63506,53;71247,86;7171,11;66373,02;181934,25;16921,87
2.85_298.10;46314,98;27660,78;37542,47;35822,72;37344,95;43778,96;57298,06;55648,57;37272,71;37258,64;55863,74;32775,28;35225,41;61451,06;65445,28;71372,11;57833,7;39679,57;45691,73;37752,89;44047,31;28499,83;51268,88;60178,4;8925,35;11622,4;11643,64;10434,1;15507,84;24554,19;17495,67;17086,93;5238,29;12574,39;9300,71;13112,8;16937,2;14232,76;24644,07;17362,66;16462,15;18518,58;14428,72;13966,32;21538,07;21707,27;22044,43;22392,37;17296,9;22591,28;17349,07;19585,8;29451,73;35061,57;32622,59;32738,46;27610,28;10997,1;31563,93;33140,77;10969,07;22585,85;29394,38;31160,57;39881,49;43830,65;38109,63;38430,37;45626,78;77829,35;39100,53;74120,83;69170,38;81805,6;117668,05;92148,12;60068,38;87779,67;76507,35;76123,34;102201,77;29904,13;73775,41;74272,85;29069,97;39651,39;68036,93;38520,99
4.42_389.18;80707,09;96093,15813;128389,36;167526,5263;98828,29;82027,3494;94375,93187;95730,26672;103999,78;86207,54;71332,09;100988,9259;120713,0438;110127,53;170185,9028;146927,62;85375,09;73554,25;77637,64;26169,82217;123658,55;132149,9;85144,87369;114063,67;832725,4182;641836,1426;709508,932;1123042,985;554946,3;592959,1;585498,8142;572270,1;384615,6632;594552,1;403862,06;604708,25;1439360,2;1055192;1146852,4;1468427,5;1050401,089;911863,9211;1246522,2;1492117,787;681301,5;681752,1;443522,5;528842,25;60472,82048;52790,31;69712,62;76268,45;42861,26;53509,37;50295,29;51200,86;42316,57;57602,75718;100958,91;62287,97;103590,2;52299,88;80844,71909;70368,87;101831,62;38234,75093;137,0435704;4208,962628;227772,94;401503,1;218246,05;309623,38;94683,48;86757,39;119799,94;46762,35832;32953,85637;47490,73;39181,35;31898,18381;137,0435704;56285,46455;103554,2228;115108,88;1366,641562;22648,46662;16845,10052;59504,33
2.19_331.07;5979,45;8861,240324;7219,59;6955,046265;4621,69;5424,458481;5584,23602;4986,352381;7123,53;7062,41;4773,85;6533,182178;10269,09424;7039,46;6352,347689;6131,57;5936,82;6257,35;6965,85;7050,12355;6929,4;8427,13;6650,333339;9187,36;387,1454228;1004,957013;1396,992169;1558,283296;502,4;26,511;1025,73838;825,68;719,8341648;265,11;477,96;1002,77;1115,58;610,39;463;2385,54;997,8715709;2550,899433;3349,28;3378,918339;530,07;1978,62;1654,17;26,511;3215,32675;2238,32;2177,04;3998,51;2070,03;2521,72;2860,13;2734,66;4211,98;2651,419021;3330,13;4746,59;4365,53;3825,31;3038,34643;2410,67;5613,48;2797,478076;5041,366369;2926,419809;3389,93;3116,22;2504,32;3034,76;1728,65;1607,96;1373,7;1863,183091;4193,507802;1621,85;1791,25;1707,887338;3355,846243;2602,506114;2788,241429;3810,93;4441,256111;4019,329734;4506,613471;3627,42
8.13_293.18;12553,86;20692,51096;12493,01;16384,32879;16876,61;14917,02724;44928,25901;22338,14763;19463,88;15227,72;22863,31;34738,50382;25888,70142;22914,12;39191,92976;30818,42;29232,43;14810,84;34172,4;31451,98006;14683,8;17415,08;22983,58466;14468,18;7674,576768;16265,68268;22006,48667;17054,19112;20208,01;21525,54;15482,81144;11611,69;30175,29246;17415,67;13251,22;11606,21;26904,67;14888,7;14674,82;33386,23;22756,95174;56736,76897;38477,58;63645,42924;36683,83;25364,8;25930,57;17443,98;48042,19933;57365,31;31222,29;30053,65;26810,5;45930,27;40776,52;34477,49;23917,8;33005,69286;23659,4;20474,18;28479,6;29719,76;71022,20234;47341,09;50675,94;44848,55682;58665,51819;20047,31531;33355,28;47426,45;22610,01;42738,36;32290,03;43203,38;89068,27;91158,41269;149616,8091;35945,99;74113,12;44530,51425;88184,24775;40953,33944;73378,02826;30852,71;42673,22531;42039,95033;35371,7788;25017,39
3.70_107.05;124085,51;102687,3;100874,99;93434,52;466795,16;315536;309389,47;307307,9;442803,78;472319,1;256819,92;462029,53;75622,14;111091,79;98920,69;104413,08;121999,41;316574,53;282253,62;275769,34;198941,23;798765,94;517904,2;502608,06;16681,62;12015,34;13860,25;14629,04;13379,32;16809,82;12211,07;14037,05;16295,17;25365;20298,77;23873,89;17801,81;13767,13;16560,13;16494,13;13449,73;14173,44;13979,78;12358,44;18276,14;16711,97;16048,77;14625,33;34567,86;29623,93;39788,92;37100,79;30254,9;26344,6;29678,79;27831,24;60703,88;33642,85;46973,77;59032,1;32698,7;30467,97;26586,69;27532,15;130005,77;203118,69;186324,53;200836,97;74290,53;105171,92;87914,89;110675,37;310354,88;148235,58;101298,5;97998,02;137370,7;176832;132108,45;156442,9;125830,19;151878,1;156582,14;189409,23;112001,01;98271,34;85488,95;113618,05
5.24_539.23;29078,1;39029,12;34116,82;29516,57;41972,14;33352,52;38185,54;35492,45;31735,42;44927,84;42138,64;42392,04;30169,47;38082,41;34077,36;40827,22;40668,92;28484,97;35202,3;35709,54;27992,8;37551,79;31066,87;36267,71;55328,23;66558,8;65768,95;47212,15;63187,97;80735,84;56667,65;60490,62;43022,75;91983,85;92664,13;97299,84;85938,78;80605,3;59487,91;88047,87;92199,14;74410,12;58089,04;56782,18;45706,06;57707,33;70208,35;64465,71;39810,9;41661,14;45708,57;50432,2;47351,68;51492,19;46144,57;48123,71;54847,25;34899,14;46844,18;52606,55;55473,69;48055;26060,34;29109,9;64807,02;60196,77;67362,52;51711,2;63130,73;54026,23;37970,72;52968,52;42996,98;50841,34;48288,05;36346,28;41236,86;38083,65;42171,16;33920,03;61819,05;36784,78;57141,5;56265,8;29375,67;29086,64;38394,63;44767,48
5.20_167.11;10622,1;11295,25;10732,04;9036,34;7558,31;7206,07;7536,18;7297,68;18254,99;15219,89;8040,89;13230,46;19217,15;10206,85;9618,42;11531,21;24152,96;17196,37;16116,75;14851,43;14132,4;28136,43;29406,01;34621,06;515361,84;476643,7;437649,56;418652,53;312344,47;531369,56;294469,6;311564,28;357745,75;438208,6;435820,94;439802,9;979830,56;801159,06;839788,25;924767,25;829730,44;715343,8;893989,1;868326,4;566432,75;572547,94;505605,3;529575,75;339035,4;383482,72;320806,72;340607;203449,48;271454,6;274831,88;267148,1;536666,25;281345,06;365453,12;525498,94;378945,5;306285,66;322662,97;349835,3;164159,3;83639,86;80285,15;74199,31;627468,8;267957,6;219908,64;280897,25;17077,19;23447,26;32239,81;28288,98;55388,12;41109,55;52109,06;27023,4;31153,07;20987,66;21670,27;24253,6;42343,07;20966,66;131695,11;59753,03
7.19_333.21;9196,55;12648;5646,66;2751,28;26519,69;21548,95;20543,93;25301,17;48666,89;36135,46;15247,69;34110,86;12890,81;11273,89;7410,61;6773,79;56279,07;32862,11;40886,6;36628,08;27605,78;29510,21;14263,05;15631;65836,52;51453,21;15718,88;18177,04;28294,57;90739,03;23210,59;31139,49;24630,46;44284,71;93493,54;44195,98;334864,12;125112,42;101502,85;286192,88;62768,65;128422,19;207770,53;214285,42;166307,72;38320,1;61955,88;56546,92;427922,06;533610,56;371223,3;354605;240764,53;248888,73;221392,5;240639,22;130836,19;147996,48;246629,22;122428,75;270799,53;182655,5;724843,1;751514,6;732490,7;21268,81;134490,88;15091,07;31751,58;345348,62;77706,04;297734,5;111399,35;39945,67;202633,39;167366,31;372862;45030,51;343761,25;35307,96;105848,88;38699,88;48638,17;52251,77;16050,94;76910,05;70778,27;25454,29
7.06_355.19;2078,11;5095,21;2254,58;2045,41;3503,05;2024,53;2362,77;1942,15;31357,09;2826,7;2535,87;3235,56;13056,55;1411,01;1281,29;1627,84;84519,48;13546,72;11526,35;8587,59;9080,42;9781,06;3332,44;2502,86;151051,28;46037,15;32172,29;51815,79;31772,35;161896,77;16607,9;43245,43;43690,47;99197,76;162999,28;95571,27;490787,78;287635,8;257305,1;454060,16;166050,53;306900,56;355921,66;330430,28;264696,44;69056,9;44008,85;105095,3;548218,56;684472,06;581990,25;599887,2;598728,56;575454,1;556825,6;577035,3;509609,22;528099,1;606768,75;512444,7;616708,94;577879,3;624163,06;655028,4;708282,44;119490,97;432904,1;73268,63;90524,66;668074,2;360484,22;694428,6;271923,94;63204,09;619865,75;563914,2;604840,44;208672,52;613106,44;75858,36;276063,44;88424,34;116945,31;132623,78;32165,65;352149,2;334746,34;44250,35
7.10_663.39;27,696;21,56465876;27,696;21,56465876;27,696;21,56465876;21,6245277;21,56465876;27,696;27,696;27,696;21,56465876;21,56465876;27,696;21,56465876;27,696;27,696;27,696;27,696;21,56465876;27,696;27,696;21,56465876;27,696;666,7789998;21,56465876;21,56465876;449,9878408;27,696;27,696;21,56465876;27,696;21,56465876;27,696;27,696;27,696;8103,9;1343,21;1513,12;5584,18;1262,415493;1323,932351;2390,93;2205,661225;1057,87;27,696;27,696;27,696;29234,47816;34161,63;14792,59;11554,87;11564,73;10675,41;10164,72;9442,12;4740,71;11095,78621;10387,63;5211;12295,86;7905,82;52310,01006;49627,12;39671,26;21,6245277;2970,319703;21,56465876;27,696;19966,49;527,4;15234,33;805,36;27,696;4947,35;5144,240939;14212,48972;646,35;12759,3;302,6028662;673,2211426;215,6465876;21,6245277;27,696;21,56465876;1174,182277;652,7716265;27,696
6.08_333.21;27022,02;36858,18;19330,66;13877,56;59215,08;54412,69;60496,02;64523,98;88860,73;69111,25;29366,88;63667,3;67923,27;19075,95;22731,35;24915,21;114932,38;69074,48;104238,36;90064,95;81282,34;63219,86;39061,98;42265,25;39318,71;28814,13;7998,8;27206,87;12755,34;36835,59;16245,3;15417,36;17265,66;24490,93;35512,47;25471,71;100818,3;50838,21;45465,03;94076,73;58344,61;52077,07;70333,67;69533,59;43498,62;26334,76;20623,63;31343,47;134337,83;172525,47;120824,08;124144,95;101240,22;168089,12;101410,95;109623,08;56360,32;49465,9;85140,25;52152,27;83970,83;61500,13;178681,25;189576,77;239017,02;22057,07;66981,45;28248,47;19609,81;107033,82;41972,58;96526,96;58606,04;40068,64;71931,17;57605,09;126799,19;34207,71;119121,2;29346,78;58571,59;41009,69;33804,84;51281,43;19237,21;38428,16;51640,3;24250,77
6.08_345.06;58191,89;81290,10529;58375,2;69474,74186;198964,1;72124,22211;99337,26812;71372,91613;37405,38;81141,61;27097,67;77077,27292;82938,16347;60674,09;71140,95745;66439;7871,1;79803,53;38191,65;34600,85938;19929,85;31530,91;36398,93427;46215,37;18,89477088;18,89477088;18,89477088;18,89477088;24,267;24,267;18,89477088;24,267;18,89477088;489,82;24,267;24,267;24,267;24,267;24,267;24,267;18,89477088;265,5282128;24,267;18,94722753;24,267;24,267;24,267;24,267;18,89477088;1206,94;24,267;24,267;24,267;24,267;24,267;24,267;24,267;18,89477088;24,267;24,267;24,267;24,267;188,9477088;2220,29;264,83;18,94722753;18,94722753;217,6787858;24,267;24,267;24,267;24,267;24,267;24,267;24,267;18,89477088;229,8699163;24,267;24,267;18,89477088;18,94722753;18,89477088;18,94722753;24,267;284,0094213;320,3242568;18,89477088;24,267
5.90_177.17;59721,14;97352,63;96810,62;83373,93;3171,88;2399,87;3197,05;2544,39;3360,45;4727,21;2539,4;4696,82;75196,12;82049,08;62965,81;72955,72;3404,27;3502,86;3132,9;3120,52;3866,03;6037,73;4577,83;5153,08;271,44;560,95;379,36;346,87;301,82;360,84;25,186;277,22;277,75;25,186;25,186;25,186;1244,06;1254,88;280,3;1347,19;822,44;1244,07;1576,64;1050,81;271,6;25,186;25,186;25,186;1283,33;1715,02;2115,03;2023,17;1498,33;1143,18;662,47;346,41;555,33;773,52;860,41;251,86;1302,55;909,98;5957,88;5373,95;2866,52;809,08;1751,8;1419,55;25,186;2215,8;741,68;1485,48;1031,92;1382,19;2166,77;1408,24;1896,82;682,96;1854,79;1065,26;1135,95;1264,15;1484,82;1701,68;25,186;504,09;448,28;844,64
7.46_319.23;72861,8;148653,7;37553,8;45571,68;221986,16;116407,24;118529,28;118163,71;42751,26;46984,84;33786,76;34475,04;64087,07;89701,28;42087,8;44155,92;22429,72;209271,17;44812,91;28690,7;12025,85;12216,19;34874,25;36823,68;12033,16;9268,88;10475,67;10889,52;11196,8;18433,9;4922,87;11638,91;10969,46;12257,45;19217;12415,36;43967,86;28282,26;20076,19;37101,08;15155,09;23302,46;35597,57;37877,16;32984,59;15997,88;11771,51;15808,39;56414,88;88557,7;38055,62;45191,63;32758,01;39396,06;30501,95;35075,44;16304,18;20501,88;31976,95;15980,1;37360,74;28052,29;76441,48;393,805;126763,7;3938,05;30373,64;4537,41;393,805;76136,36;15416,69;74991,12;34635,56;28153,26;51100,28;43296,03;56196,69;8921,71;54597,13;4726,49;41248,69;15675,07;26610,38;29301,04;5394,21;10177,87;19978,48;11040,73
4.23_333.06;2343229;1709612,1;2063822,6;1898854,5;3473673,2;2869172,5;2788775;2831282,5;2541668;2393750,5;2945147;2069955,4;1520581,9;2657467,5;2023831,1;2166099,5;2115731,5;3075312,8;3243904;2985290,2;2556546,2;2384167,8;2618369,2;2759189;790,17;961,56;878,5;923,73;1410,25;836,57;260,66;656,5;1080,97;1483,14;273,55;1192,33;993,72;1160,04;1314,48;789,08;285,26;985,56;930,37;685,31;256,84;552,61;338,77;407,39;11665,86;12055,48;17568,56;15937,11;11106,68;19076,25;17119,69;16994,89;21495,51;7649,56;12293,91;22945,03;14385,1;11969,54;10222,23;11006,23;65240,38;65575,88;76999,41;58918,46;46099,52;65140,05;42371,4;62676,46;37008,56;20894,45;20788,82;18003,55;100181,74;96041,09;92020,11;85727,26;26320,78;23406,92;28900,7;32768,98;43029,33;49929,52;60633,38;47341,11
3.16_360.15;5843,04;8431,65;6842,28;5457,09;3758,1;1080,45;4555,45;3966,06;6648,71;8157,17;2268,23;6262,16;10567,38;6387,17;8548,7;9661,04;4985,71;5903,91;3194,5;5130,04;800,7;11858,85;22296,36;24282,12;68937,68;82654,53;110151,91;93633,87;61158,75;66670,3;59915,29;63651,88;42619,87;65421,14;64430,69;65104,64;101994,48;85878,73;108890,19;97885,3;103658,7;88468,41;85540,2;80258,16;62416,96;78740,36;85126,12;91714,21;52460,61;111534,4;164049,67;190555,16;49708,39;53521,7;49883,15;57890,98;117630,73;41145,9;105321,01;120581,74;105509,38;76025,48;82714,97;89467,8;71447,5;42437,27;50881;38367,64;263543,56;78209,56;41903,21;83515,84;3475,74;78867,68;141014,08;115111,66;18685,66;80,07;11918,04;80,07;82318,39;31042,42;41271,69;39981,93;3717,87;80,07;5149;8615,75
2.02_205.04;30243,76;65361,13682;47371,48;73150,23301;7223,41;35439,16836;36554,07165;32341,77139;26164,45;24866,38;31787,28;34257,35561;69735,19802;35137,93;63146,38345;42898,71;7069,72;17636,13;15949,66;23308,81422;4523,87;24776,46;31369,38405;9116,5;9505,945447;7135,943043;12811,28845;14220,39595;3633,37;7008,98;6740,443028;4906,15;6951,838351;9011,03;7495,4;9340,2;19359,04;8173,26;10881,19;14089,1;14915,18969;5919,285028;9421,54;6559,643073;2314,1;2508,92;2374,88;3754,75;7102,135364;6035,24;7195,04;6775,8;3115,04;3892,62;3973,52;4635,91;12069,21;5960,880925;6882,98;14336,11;5498,15;2107,75;14175,65644;4472,8;2431,72;23564,57483;25476,303;29600,54634;7770,52;24873,28;7412,58;22205,44;14147,22;44013,11;57873,82;91579,20228;4779,086208;14378,3;4130,25;19338,81785;10329,21769;36707,75831;8766,4052;8024,36;12801,29097;13804,46494;21192,53292;7811,19
2.79_369.10;13239,92;2244,37;4279,04;1570,37;2314,2;110,651;2497,29;3658,65;1997,62;1889,05;5875,86;1820,61;2625,72;8436,12;4322,25;5238,47;110,651;6215,34;4897,95;2668,44;4585,88;1434,01;1190,17;2958,65;12394,51;12428,09;13245,99;8104,01;14127,9;14024,16;14260,63;14435,96;13470,18;19646,53;21231,72;24706,33;13863,72;16314,17;14134,14;14054,5;14737,38;13873,24;11936,7;11342,22;16264,08;22871,56;22430,4;21152,01;4961,54;15783,89;18772,18;17588,13;13183;6336,39;4965,09;6981,11;5396,29;3563,75;9513,66;5216,86;17549,7;17689,88;12714,03;12800,06;10039,21;16830,82;16900,52;15398,47;4021,89;16835,73;19565,78;18814,69;16042,46;13982,37;12140,11;10139,02;11543,56;9305,05;12531,82;7927,3;11049,8;7598,33;13027,17;13457,86;5077,48;9596,3;5341,1;12173,19
6.86_299.20;20190,92;28305,37;20629,8;24044,82;32415,95;36349,19;40157,69;49167,52;84509,16;66860,21;73451,47;70244,91;54244,08;41249,2;42467,46;48431,67;68122,66;45669,12;100373,93;66661,24;121999,77;98420,46;65940,6;77389,37;49569,91;72416,54;19330,39;39850,5;47457,31;131645,5;22027,27;69570,93;24764,16;83239,52;163350,38;86732,98;280080;66629,99;113662,23;184824,94;63319,97;122232,38;186934,8;142790,6;233385,38;83040,21;84370,45;109792,61;235074,58;459704,62;368932,72;361951,3;336895,56;303188,2;323225,4;333519,2;278184,4;254113,36;394246,78;290075,88;258722,11;269751,94;578624,5;606895,2;625867,9;148487,1;281057,5;113677,03;147125,75;482810,5;336801,38;475135,5;646821,2;527305;614968,1;578886,94;595194;292784,28;439856,06;212042,58;644374,3;463376;611831,25;580897,44;498391;435604,62;709609,7;650089,06
5.85_233.15;11039,89;20209,39;15767,39;15045,91;20747,5;13894,4;15482,99;14702,19;45673,56;49599,68;16896,86;47219,07;13614,01;8002,73;5599,37;6972,16;14433,19;10357,59;12519,85;12409,14;6911,61;15942,37;17311,25;19407,03;7512,54;7764,54;6056,52;7035,87;5429,76;8369,48;3815,1;5936,47;5039,82;6515,92;9707,35;6183,31;11553,24;11361,47;6416,78;10509,79;9029,96;6656,06;12134,73;10216,06;8932,75;5690,55;3601,94;3552,76;11239,43;26282,97;24822,56;25600,62;36893,72;9740,88;7785,29;8134,74;9328,31;6826,18;10405,54;7048,58;12431,03;9890,08;186908,75;160752,23;29116,84;6754,39;9447,31;6328,63;10014,59;14241,44;9554,56;12100,75;4253,57;4129,53;12967,91;9887,02;10876,27;3206,12;9490,13;2961,73;5531,62;3762,26;3337,71;4359,41;1824,38;2323,89;5020,74;2513,8
6.62_267.07;25,138;19,57294887;25,138;19,57294887;25,138;19,57294887;19,62728832;19,57294887;25,138;25,138;25,138;19,57294887;19,57294887;25,138;19,57294887;25,138;25,138;25,138;25,138;19,57294887;25,138;25,138;19,57294887;25,138;11077,9636;4251,031465;5657,756384;5140,986308;10461,8;8468,94;7402,417943;9847,52;12615,08401;23464,18;21980,79;22946,52;3116,54;2527,63;2669,02;2657,14;3194,389659;3113,944482;1350,61;1654,273246;12315,58;11842,15;10824,76;9612,03;5033,684689;2724,72;4603,62;3941,26;2526,98;4244,54;4456,56;3732,48;2200,88;208,1718359;2542,55;2185,06;732,63;3890,97;752,0456731;251,38;7706,62;38292,56;47575,90509;35703,57213;2320,09;5695,78;9073,35;5927,15;23911,47;13384,1;14524,2;11891,98742;15216,12203;15870,92;14932,51;16463,98161;21219,46601;1978,566785;29907,83208;30395,02;1561,475638;5890,664976;12261,34138;1562,71
10.22_279.23;29772,97;3622,15;259609,38;241870,22;67862,02;5956,56;381491,03;5555,28;252236,5;359521,38;12025,02;346489,4;127012,02;126829,47;201509,44;403229;14425,75;17438,31;10628,92;8774,08;4956,26;4242,8;20235,28;20280,56;1584,05;201810,61;957,34;1785,3;10502,39;7734,23;9522,92;10944,53;4686,16;5255,51;7878,02;7639,31;1763,77;4708,21;6219,51;7094,17;5716,52;2057,32;6408,24;6173,18;9712,18;5309,31;5884,24;6340,28;6074,76;6647,64;7140,84;7809,37;6119,51;3923,72;5073,47;3585,4;4727,9;3765,55;5190,57;4404,32;5301,25;5430,37;5413,74;6488,57;9932,94;7704,93;10282,38;7181,48;7536,48;6176,32;3671,46;5512,4;4524,81;5338,31;14045,23;12080,23;5349,11;4283,6;6798,77;4830;14146,71;5434,24;6063,08;7006,99;2472,53;2800,25;2997,19;3689,17
9.16_303.23;53623,44;83546,43;42322,46;51501,48;26494,69;24824,23;27114,35;31697,77;24757,28;19296,17;16846,82;15940,09;91101,09;61372,75;57283,88;54875,4;16841,93;36953,76;18871,71;12404,03;10164,7;12799,69;18226,79;19375,78;25182,96;22981,72;17676,67;18666,54;36845,75;60401,91;32985,84;34985,78;23282,29;40951,09;72251,74;44449,55;79137,28;64663,7;48117,01;82217,62;62304,98;42760,44;61133,59;40892,36;84452,73;49426,29;53487,19;53055,12;82528,45;103064,55;76537,3;78630,09;68945,38;84992,37;70447,6;78677,66;55177,36;58655,53;70948,62;59765,07;69657,87;66005,9;84123,84;93098,12;125387,15;62009,08;76748,62;54993,23;36912,72;84369,61;57176,56;78336,28;424564,25;203595,61;201554,33;151588,92;110146,28;61544,09;109696,09;49438,28;249359,92;217566,44;248316,25;279290,78;48533,43;50210,16;31773,91;59602,44
10.32_295.23;3177,22;2660,14;3255,82;3014,03;2874,02;4486,27;6393,99;5373,1;6345,69;5420,53;3585,84;5294,68;3581,97;3704,56;3186,25;4015,09;5641,77;6721,88;7054,51;7766,15;2630,54;11601,57;7466,99;9875,52;143305,45;283329,78;324354,22;271514,3;387077,44;280363,7;325889,22;415518,47;139348,67;248771,48;270262,7;255884,28;210622,31;217645,77;208687,55;207761,52;159379,69;149775,47;180412,97;166660,62;338107,2;193526,73;217459,2;198730,89;95914,48;103133,95;130874,48;146198,89;104602,26;72643,06;57896,57;68339,7;118558,71;55788,24;110201,74;121686,66;102776,51;100038,93;115295,75;144310,23;166619,48;289897;282125,9;250854,66;257366,94;211459,28;122763,72;200333,77;112874,1;129182,85;242647,27;206416,8;121745,9;120924,66;147855,61;116569,77;236682,73;106203,51;143911,92;145151,17;81870,24;72249,34;81689,52;110581,88
9.13_289.25;4106,59;7041,83;7848,73;7656,61;5132,4;3325,93;4278,65;3234,96;8156,65;5172,98;7,414;3246,9;8334,17;1323,37;5241,45;3108,94;6849,47;2816,03;7,414;43473,12;7,414;4228,67;1510,88;1340,43;43851,43;18383,92;21070,56;21462,65;18095,32;73227,16;27004,51;30854,52;33707,04;36506,32;49389,34;37237,44;144274,84;79655,27;49875,07;118075,66;62860,02;73125,52;80863,17;59198,82;66385,62;28390,49;39035,19;32055,2;16480,65;35427,09;13279,01;13173,52;9141,49;2896,94;4885,84;3981,95;18380,8;20982,99;14972,71;18022,57;16213,59;20318,87;39560,77;45521,68;54030,41;3079,47;14397,5;5049,3;4050,76;20258,33;7,414;17145,72;209560,88;237738,72;432758,12;269700,44;7,414;5119,96;4824,77;10299,3;279258,28;252260,61;229548,28;256812,52;7,414;7,414;8829,44;7,414
9.13_271.24;4508,45;4978,36;9238,1;7551,27;17703,14;9857,73;8105,46;13438,76;23159,28;31486,36;5930,67;10454,67;9418,32;7422,56;4568,16;13216,16;5675,49;10931,23;198,955;22998,71;198,955;198,955;4701,39;5132,62;34215,76;26804,51;16287,03;16753,1;15050,33;61019,86;21747,36;26314,76;27282,52;28421,39;40497,77;29925,73;120136,74;65989,12;40250,09;96287,08;50387,57;23802,83;67513,28;48251,12;52848,27;23479,66;31547,51;25908,55;13483,97;32207,59;9594,63;10170,44;3138,09;198,955;1989,55;198,955;13017,79;16983,74;11197,37;16153,94;12980,32;16921,58;31228,88;37788,97;47565,31;5313,52;10858,38;4321,83;3762,7;17688,46;198,955;12924,85;187773,9;205293,52;384594,6;237257,53;4293,21;5621,36;198,955;2928,03;243785,12;218803,53;202244,94;222467,61;198,955;198,955;4817,4;198,955
